id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
2533,EIDW,large_airport,Dublin Airport,53.421299,-6.27007,242,EU,Ireland,IE,County Dublin,IE-D,D,Dublin,1,EIDW,DUB,,http://www.dublinairport.com/,https://en.wikipedia.org/wiki/Dublin_Airport,Aerfort Bhaile Átha Cliath,1014475,2018-07-19T09:23:39+00:00
2537,EINN,large_airport,Shannon Airport,52.702,-8.92482,46,EU,Ireland,IE,County Clare,IE-CE,CE,Shannon,1,EINN,SNN,,http://www.shannonairport.com/,https://en.wikipedia.org/wiki/Shannon_Airport,,1275,2019-01-15T07:31:08+00:00
2530,EICK,medium_airport,Cork Airport,51.841301,-8.49111,502,EU,Ireland,IE,County Cork,IE-C,C,Cork,1,EICK,ORK,,http://www.corkairport.com/,https://en.wikipedia.org/wiki/Cork_Airport,Aerfort Chorcaí,750,2021-11-22T14:14:40+00:00
2531,EICM,medium_airport,Galway Airport,53.300201416015600,-8.941590309143070,81,EU,Ireland,IE,County Galway,IE-G,G,Galway,1,EICM,GWY,,http://www.galwayairport.com/,https://en.wikipedia.org/wiki/Galway_Airport,,750,2009-02-15T11:28:05+00:00
2535,EIKY,medium_airport,Kerry Airport,52.180901,-9.52378,112,EU,Ireland,IE,County Kerry,IE-KY,KY,Killarney,1,EIKY,KIR,,http://www.kerryairport.ie/,https://en.wikipedia.org/wiki/Kerry_Airport,,750,2021-10-29T10:43:31+00:00
2539,EIWF,medium_airport,Waterford Airport,52.187198638916000,-7.0869598388671900,119,EU,Ireland,IE,County Waterford,IE-WD,WD,Waterford,1,EIWF,WAT,,http://flywaterford.com/,https://en.wikipedia.org/wiki/Waterford_Airport,,750,2009-02-15T22:12:02+00:00
2534,EIKN,medium_airport,Ireland West Knock Airport,53.910301,-8.81849,665,EU,Ireland,IE,County Mayo,IE-MO,MO,Charlestown,1,EIKN,NOC,,http://www.irelandwestairport.com/,https://en.wikipedia.org/wiki/Ireland_West_Airport_Knock,Connaught,750,2021-04-27T17:05:29+00:00
29221,EIIM,small_airport,Inishmore Aerodrome,53.1067008972168,-9.653610229492190,24,EU,Ireland,IE,County Galway,IE-G,G,Inis Mór,1,EIIM,IOR,,,https://en.wikipedia.org/wiki/Inishmore_Aerodrome,Aran Islands,150,2009-02-15T11:38:04+00:00
27309,EICA,small_airport,Connemara Regional Airport,53.23030090332030,-9.467780113220220,70,EU,Ireland,IE,County Galway,IE-G,G,Inverin,1,EICA,NNR,,http://www.aerarannislands.ie/,https://en.wikipedia.org/wiki/Aerfort_na_Minna,"Aerfort na Minna, Indreabhán",150,2009-04-07T13:05:55+00:00
27310,EIWT,medium_airport,Weston Airport,53.3521995544,-6.48611021042,150,EU,Ireland,IE,County Kildare,IE-KE,KE,Leixlip,0,EIWT,,,http://www.westonairport.com/,https://en.wikipedia.org/wiki/Weston_Airport,Dublin,250,2010-01-22T17:41:50+00:00
2532,EIDL,medium_airport,Donegal Airport,55.0442008972168,-8.340999603271480,30,EU,Ireland,IE,County Donegal,IE-DL,DL,Donegal,1,EIDL,CFN,,http://www.donegalairport.ie/,https://en.wikipedia.org/wiki/Donegal_Airport,Gweedore,750,2009-02-15T11:09:37+00:00
2538,EISG,medium_airport,Sligo Airport,54.280200958252,-8.5992097854614,11,EU,Ireland,IE,County Sligo,IE-SO,SO,Sligo,0,EISG,SXL,,http://www.sligoairport.com/,https://en.wikipedia.org/wiki/Sligo_Airport,,750,2015-08-04T01:22:25+00:00
2536,EIME,medium_airport,Casement Air Base,53.301700592,-6.451330184940000,319,EU,Ireland,IE,County Dublin,IE-D,D,Baldonnel,0,EIME,,,,https://en.wikipedia.org/wiki/Casement_Aerodrome,RAF Baldonnel,250,2012-11-16T13:40:01+00:00
29222,EIIR,small_airport,Inisheer Aerodrome,53.064701,-9.5109,40,EU,Ireland,IE,County Galway,IE-G,G,Inis Oírr,1,EIIR,INQ,,,https://en.wikipedia.org/wiki/Inisheer_Aerodrome,Aran Islands,150,2021-07-31T16:41:20+00:00
29226,EIMN,small_airport,Inishmaan Aerodrome,53.09299850463870,-9.568059921264650,15,EU,Ireland,IE,County Galway,IE-G,G,Inis Meáin,1,EIMN,IIA,,,,Aran Islands,150,2009-02-15T11:39:32+00:00
